Devices,Date,Esn,Part Of Netflix Household
Chromecast V5,2025-06-14 12:16:17,GOOGCAP0010000000000000021414038,Yes
Chromecast with GTV 1080P,2025-06-20 21:53:06.596,NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,Yes
iPhone 11,2025-06-06 11:27:36.416,NFAPPL-02-IPHONE12=1-0A9BEFA754C360F16D98875D79EA119728E16F26A67815685A939DDE7A06EA0A,Yes
iPhone 13 Pro,2025-06-20 22:42:42.815,NFAPPL-02-IPHONE14=2-48F7415FE2EFBE89F050460A6BBDAA87D7DF55B231548196177E5DE1A3E9A290,Yes
iPhone 13,2025-06-13 07:20:20.451,NFAPPL-02-IPHONE14=5-PXA-02021FN3OK649ESAOB0S65QJURS2118QH1E12IFB0AE5QT7VJH4EOUM6CI8AVRK9FIUUBKNBHH73MS59SNRHQDH2A8DLCBUT7CEL4194,No
iPhone 16 Pro,2025-06-20 21:23:52.398,NFAPPL-02-IPHONE17=1-050E667899CEFF83E51C3824A0C34707BA5B42CC815BBFE00E04EF53F3E9174C,Yes
iPhone 16 Pro,2025-06-14 12:29:00,NFAPPL-02-IPHONE17=1-36822323A34911B293E13A57B8D5AC47BEB477E05E9026F5B086B9BFE70D2304,Yes
iPhone 16 Pro,2025-06-14 11:19:10.68,NFAPPL-02-IPHONE17=1-PXA-02020LO198IAAVG6TQSV9TFMCJTDNBPV8T5UH76EDL0M1M1T136DBCE6IGO5RK53QGG2D671JVNBAT6GVAP0LJ12MA7RV63PLH522B10,Yes
iPhone 16 Pro,2025-06-14 04:19:21.256,NFAPPL-02-IPHONE17=1-PXA-020296UBE2GUJ7FVRKUM0TB9LP9Q7UP7ONID2J30Q0T713SV87RTFAFN1BOAHB0CA52N5274HM7K83UHN1O31EFJ3FRSM9AMRV64CA9A,Yes
Chrome PC (Cadmium),2025-06-10 10:02:33.92,NFCDCH-02-KQGP9037NC9AX70PMF6FRQQUCV0K4C,Yes
Chrome PC (Cadmium),2025-06-08 20:29:41,NFCDCH-02-M4CVQXJUYNXN7A8X5CPT2DWVQHLPH3,No
Firefox PC (Cadmium),2025-06-06 05:04:39.925,NFCDFF-02-JP4GJ31PMX1HGHL4CPFN5YLXTEM3FP,Yes
Edge OSS (Cadmium),2025-06-08 21:08:15.255,NFCDIE-03-LNUFL8YF4J6EQJ3HENRP5228DHV2P4,No
