Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Dad,iOS,profilesGate,,,2025-06-20 07:19:26
Dad,iOS,browseTitles,,,2025-06-20 07:19:26
Dad,iOS,profilesGate,,,2025-06-20 07:19:24
Dad,iOS,profilesGate,,,2025-06-17 05:33:00
Dad,iOS,browseTitles,,,2025-06-17 05:33:00
Dad,iOS,profilesGate,,,2025-06-17 05:33:00
Dad,iOS,profilesGate,,,2025-06-16 05:09:01
Dad,iOS,browseTitles,,,2025-06-16 05:09:01
Dad,iOS,profilesGate,,,2025-06-16 05:09:01
Dad,iOS,profilesGate,,,2025-06-14 05:07:15
Dad,iOS,profilesGate,,,2025-06-14 05:07:15
Dad,iOS,browseTitles,,,2025-06-14 05:07:15
Dad,iOS,profilesGate,,,2025-06-14 04:24:29
Dad,iOS,browseTitles,,,2025-06-14 04:24:29
Dad,iOS,profilesGate,,,2025-06-14 04:24:29
Dad,tvui,playback,,,2025-06-13 12:09:52
Dad,tvui,movieDetails,,,2025-06-13 12:09:52
Dad,tvui,playback,,,2025-06-13 11:32:58
Dad,tvui,movieDetails,,,2025-06-13 11:32:58
Dad,tvui,browseTitles,,,2025-06-13 11:32:54
Dad,tvui,movieDetails,,,2025-06-13 11:32:54
Dad,tvui,browseTitles,,,2025-06-13 11:32:50
Dad,iOS,showDetails,,,2025-06-13 08:52:57
Dad,iOS,search,,,2025-06-13 08:52:56
Dad,iOS,profilesGate,,,2025-06-13 08:52:47
Dad,iOS,browseTitles,,,2025-06-13 08:52:47
Dad,iOS,profilesGate,,,2025-06-13 08:52:46
Dad,iOS,profilesGate,,,2025-06-13 05:56:32
Dad,iOS,profilesGate,,,2025-06-13 05:56:32
Dad,iOS,browseTitles,,,2025-06-13 05:56:32
Dad,iOS,profilesGate,,,2025-06-12 05:57:09
Dad,iOS,browseTitles,,,2025-06-12 05:57:09
Dad,iOS,profilesGate,,,2025-06-12 05:57:09
Dad,tvui,movieDetails,,,2025-06-11 18:51:27
Dad,tvui,movieDetails,,,2025-06-11 18:51:27
Dad,tvui,playback,,,2025-06-11 18:51:27
Dad,tvui,movieDetails,,,2025-06-11 18:51:26
Dad,tvui,movieDetails,,,2025-06-11 18:51:26
Dad,tvui,movieDetails,,,2025-06-11 18:51:24
Dad,tvui,clcsInitialInterstitialView,,,2025-06-11 18:51:20
Dad,tvui,progressSpinner,,,2025-06-11 18:51:20
Dad,tvui,mhuVerifyTravel,,,2025-06-11 18:51:20
Dad,tvui,progressSpinner,,,2025-06-11 18:51:20
Dad,tvui,mhuManageHousehold,,,2025-06-11 18:51:12
Dad,tvui,progressSpinner,,,2025-06-11 18:51:12
Dad,tvui,progressSpinner,,,2025-06-11 18:50:45
Dad,tvui,mhuManageHousehold,,,2025-06-11 18:50:45
Dad,tvui,progressSpinner,,,2025-06-11 18:50:44
Dad,tvui,misdetectionResolutionSessionStart,,,2025-06-11 18:50:44
Dad,tvui,progressSpinner,,,2025-06-11 18:50:38
Dad,tvui,mhuManageHousehold,,,2025-06-11 18:50:38
Dad,tvui,progressSpinner,,,2025-06-11 18:50:38
Dad,tvui,misdetectionResolutionSessionStart,,,2025-06-11 18:50:38
Dad,tvui,mhuManageHousehold,,,2025-06-11 18:50:35
