Profile Name,Title Name,Country,Utc Title Add Date
Dad,The Survivors,Australia,2025-06-13
Dad,The Gentlemen,Australia,2025-06-02
Dad,Bloodline,Australia,2025-05-26
Dad,The Madness,Australia,2025-05-07
Dad,Inside Man: Most Wanted,Australia,2025-05-07
Dad,BlackBerry,Australia,2025-05-05
Dad,Exterritorial,Australia,2025-05-05
Dad,Havoc,Australia,2025-04-30
Dad,1883,United Kingdom,2025-04-07
Dad,The Long Game,Australia,2025-03-22
Dad,Enemy at the Gates,Australia,2025-03-22
Dad,Pelé,Australia,2025-03-22
Dad,War Sailor,Australia,2025-03-22
Dad,The Electric State,Australia,2025-03-22
Dad,American Primeval,Australia,2025-02-18
Dad,American Murder: Gabby Petito,Australia,2025-02-18
Dad,Buy Now: The Shopping Conspiracy,Australia,2025-01-06
Dad,La Palma,Australia,2024-12-21
Dad,Senna,Australia,2024-12-04
Dad,Buy Now: The Shopping Conspiracy,Australia,2024-11-23
Dad,Don't Move,Australia,2024-11-16
Dad,Reptile,Australia,2024-11-16
Dad,Jake Paul vs. Mike Tyson,Australia,2024-11-09
Dad,The Union,Australia,2024-08-22
Dad,The Gentlemen,Australia,2024-08-15
Dad,The Final: Attack on Wembley,Australia,2024-06-18
Dad,Baby Reindeer,Australia,2024-05-13
Dad,Operation Mincemeat,Australia,2024-05-10
Dad,Geostorm,Australia,2024-04-05
Dad,Greenland,Australia,2024-04-05
Dad,Together: Treble Winners,Australia,2024-04-03
Dad,3 Body Problem,Australia,2024-03-22
Dad,Oppenheimer,Australia,2024-03-20
Dad,American Underdog: The Kurt Warner Story,Australia,2024-02-27
Dad,Untold: Swamp Kings,Australia,2024-02-07
Dad,American Nightmare,Australia,2024-02-07
Dad,Griselda,Australia,2024-02-07
Dad,Who is Erin Carter?,Australia,2024-02-07
Dad,American Underdog: The Kurt Warner Story,Australia,2024-02-07
Dad,The Greatest Night in Pop,Australia,2024-02-07
Dad,All the Light We Cannot See,Australia,2024-02-06
Dad,Berlin,Australia,2024-02-05
Dad,Live to 100: Secrets of the Blue Zones,Australia,2024-02-05
Dad,Alexander: The Making of a God,Australia,2024-02-05
Dad,"Pepsi, Where's My Jet?",Australia,2024-01-28
Dad,Fool Me Once,Australia,2024-01-10
Dad,Rebel Moon — Part One: A Child of Fire,Australia,2024-01-02
Dad,World War II: From the Frontlines,Australia,2024-01-02
Dad,Obliterated,Australia,2023-12-03
Dad,Squid Game: The Challenge,Australia,2023-11-23
Dad,Robbie Williams,Singapore,2023-11-09
Dad,Sly,Singapore,2023-11-05
Dad,Big Vape: The Rise and Fall of Juul,Australia,2023-11-01
Dad,Blacklight,Australia,2023-10-18
Dad,Big Vape: The Rise and Fall of Juul,Australia,2023-10-12
Dad,Lupin,Australia,2023-10-07
Dad,Beckham,Australia,2023-10-07
Dad,"Ordinary Men: The ""Forgotten Holocaust""",Australia,2023-09-21
Dad,Gangs of Oslo,Australia,2023-09-19
Dad,Molly's Game,Australia,2023-08-29
Dad,Untold: Hall of Shame,Australia,2023-08-17
Dad,Heart of Stone,Australia,2023-08-14
Dad,Hidden Strike,Australia,2023-08-14
Dad,Mission: Impossible - Rogue Nation,Australia,2023-08-14
Dad,Quarterback,Indonesia,2023-07-12
Dad,The Witcher,Australia,2023-06-29
Dad,Treason,Australia,2023-06-29
Dad,Honest Thief,Australia,2023-06-28
Dad,Arnold,Australia,2023-06-09
Dad,Arnold,Australia,2023-06-08
Dad,The Game Changers,Australia,2023-05-28
Dad,The Billion Dollar Code,Australia,2023-05-05
Dad,Stillwater,Australia,2023-05-05
Dad,7 Days in Entebbe,Australia,2023-05-05
Dad,Manifest,Australia,2023-05-05
Dad,Kaleidoscope,Australia,2023-04-30
Dad,Villain,Australia,2023-04-24
Dad,The Last Kingdom: Seven Kings Must Die,Australia,2023-04-19
Dad,The Diplomat,Australia,2023-04-18
Dad,BEEF,Australia,2023-04-16
Dad,Capturing Cricket: Steve Waugh in India,Australia,2023-04-14
Dad,Get Smart With Money,Australia,2023-04-14
Dad,The Night Agent,Australia,2023-04-11
Dad,Behind Her Eyes,Australia,2023-04-08
Dad,Don't Look Up,Australia,2023-04-05
Dad,Murdaugh Murders: A Southern Scandal,Australia,2023-02-28
Dad,Ganglands,Australia,2023-02-21
Dad,Bill Russell: Legend,Australia,2023-02-15
Dad,Company of Heroes,Australia,2023-02-05
Dad,Narvik,Australia,2023-01-26
Dad,Vikings: Valhalla,Australia,2023-01-16
Dad,Break Point,Australia,2023-01-14
Dad,The Playlist,Australia,2022-12-22
Dad,The Recruit,Australia,2022-12-20
Dad,Interstellar,Australia,2022-12-11
Dad,Troll,Australia,2022-12-02
Dad,Heart of Champions,Australia,2022-11-21
Dad,1899,Australia,2022-11-16
Dad,The Client List,Australia,2022-11-14
Dad,The Watcher,Australia,2022-11-12
Dad,FIFA Uncovered,Australia,2022-11-11
Dad,Inside Man,Australia,2022-11-01
Dad,Kleo,Australia,2022-11-01
Dad,13 Minutes,Australia,2022-11-01
Dad,Captains,Australia,2022-10-27
Dad,Barbarians,Australia,2022-10-26
Dad,The Stranger,Australia,2022-10-24
Dad,He Never Died,Australia,2022-10-18
Dad,Sniper: Assassin's End,Australia,2022-10-18
Dad,All Quiet on the Western Front,Australia,2022-10-17
Dad,King Richard,Australia,2022-10-15
Dad,The Redeem Team,Australia,2022-10-13
Dad,Untold: Operation Flagrant Foul,Australia,2022-10-13
Dad,Untold: The Girlfriend Who Didn't Exist,Australia,2022-10-13
Dad,Losers,Australia,2022-10-13
Dad,Shania Twain: Not Just a Girl,Australia,2022-10-07
Dad,The Ice Road,Australia,2022-10-07
Dad,Hold Tight,Australia,2022-10-07
Dad,Hustle,Australia,2022-10-07
Dad,The Woods,Australia,2022-10-07
Dad,Untold: The Rise and Fall of AND1,Australia,2022-10-07
Dad,The Final Quarter,Australia,2022-10-07
Dad,American Underdog: The Kurt Warner Story,Singapore,2022-09-20
Dad,Untold: The Race of the Century,Australia,2022-09-06
Dad,The Sandman,Australia,2022-08-16
Dad,Formula 1: Drive to Survive,Australia,2022-08-09
Dad,The Most Hated Man on the Internet,Australia,2022-07-30
Dad,Stranger Things,Australia,2022-07-01
Dad,Woodlawn,Australia,2022-06-12
Dad,Shutter Island,Australia,2022-05-26
Dad,Taboo,Australia,2022-04-06
Dad,Formula 1: Drive to Survive,Australia,2022-04-06
Dad,Danger Close: The Battle of Long Tan,Australia,2022-03-30
Dad,Metal Lords,Australia,2022-03-14
Dad,Vikings: Valhalla,Australia,2022-03-04
Dad,Munich – The Edge of War,Australia,2022-02-06
Dad,Neymar: The Perfect Chaos,Australia,2022-02-06
Dad,42,Australia,2021-12-13
Dad,The Unforgivable,Australia,2021-12-11
Dad,For Life,Australia,2021-12-02
Dad,Money Heist,Australia,2021-11-21
Dad,The Witcher,Australia,2021-11-20
Dad,Red Notice,Australia,2021-11-15
Dad,The Harder They Fall,Australia,2021-11-12
Dad,The Chestnut Man,Australia,2021-11-06
Dad,Official Secrets,Australia,2021-10-31
Dad,The King,Australia,2021-10-31
Dad,Midway,Australia,2021-10-31
Dad,Outlaw King,Australia,2021-10-31
Dad,The Siege of Jadotville,Australia,2021-10-31
Dad,Hypnotic,Australia,2021-10-31
Dad,Schumacher,Australia,2021-10-31
Dad,Bad Sport,Australia,2021-10-05
Dad,Wonder Woman 1984,Australia,2021-10-05
Dad,The Forgotten Battle,Australia,2021-10-05
Dad,Gone for Good,Australia,2021-10-02
Dad,The Battered Bastards of Baseball,Australia,2021-10-01
Dad,Squid Game,Australia,2021-09-30
Dad,Clickbait,Australia,2021-09-27
Dad,The Good Place,Australia,2021-09-23
Dad,Sense8,Australia,2021-09-23
Dad,13 Reasons Why,Australia,2021-09-23
Dad,Brand New Cherry Flavor,Australia,2021-09-23
Dad,Untold: Malice at the Palace,Australia,2021-08-18
Dad,My All American,Australia,2021-06-30
Dad,Katla,Australia,2021-06-18
Dad,The Hard Way,Australia,2021-06-13
Dad,The Stranger,Australia,2021-06-12
Dad,Believe Me: The Abduction of Lisa McVey,Australia,2021-06-10
Dad,Angel Has Fallen,Australia,2021-06-07
Dad,Baggio: The Divine Ponytail,Australia,2021-06-05
Dad,Jupiter's Legacy,Australia,2021-06-05
Dad,Secret City,Australia,2021-05-19
Dad,Pine Gap,Australia,2021-05-19
Dad,Line of Duty,Australia,2021-05-19
Dad,Wu Assassins,Australia,2021-05-06
Dad,Gallipoli,Australia,2021-04-23
Dad,American Murder: The Family Next Door,Australia,2021-04-01
Dad,The Bonfire of Destiny,Australia,2021-01-05
Dad,Rake,Australia,2021-01-05
Dad,Fargo,Australia,2020-11-26
Dad,Space Force,Australia,2020-11-26
Dad,Flags of Our Fathers,Australia,2020-11-08
Dad,Barbarians,Australia,2020-10-31
Dad,The Trial of the Chicago 7,Australia,2020-10-24
Dad,La Révolution,Australia,2020-10-24
Dad,Dark,Australia,2020-10-19
Dad,Suits,Australia,2020-10-16
Dad,Barbarians,Australia,2020-10-14
Dad,La Révolution,Australia,2020-10-14
Dad,The Trial of the Chicago 7,Australia,2020-10-14
Dad,Flags of Our Fathers,Australia,2020-10-14
Dad,Unbelievable,Australia,2020-10-09
Dad,13TH,Australia,2020-10-09
Dad,Oprah Winfrey Presents: When They See Us Now,Australia,2020-10-07
Dad,Kingdom,Australia,2020-09-26
Dad,Overlord,Australia,2020-09-13
