Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Dad,AU,iPhone,0,surv,,add,title_results,2025-06-13 08:53:08
Dad,AU,iPhone,0,surv,,select,title_results,2025-06-13 08:52:56
Dad,AU,iPhone,0,the gent,The Gentlemen_hook_primary_16x9,supplemental-play,title_results,2025-06-03 23:36:53
Dad,AU,iPhone,0,the gent,The Gentlemen,select,title_results,2025-06-03 23:36:52
Dad,AU,iPhone,0,the gent,,select,title_results,2025-06-03 23:36:44
Dad,AU,iPhone,0,the gent,Season 1 Character Intro Clip 3: The Gentlemen,supplemental-play,title_results,2025-06-03 23:36:44
Dad,AU,Set Top Box,0,the g,"The Gentlemen: Season 1: ""Tackle Tommy Woo Woo""",play,title_results,2025-05-26 01:22:43
Dad,AU,Set Top Box,0,the g,,select,title_results,2025-05-26 01:22:40
Dad,AU,Set Top Box,0,the g,,play,title_results,2025-05-26 01:22:29
Dad,AU,Set Top Box,0,the g,,play,title_results,2025-05-26 00:55:27
Dad,AU,Set Top Box,0,the g,,select,title_results,2025-05-26 00:55:23
Dad,AU,iPhone,0,night,,select,title_results,2025-05-07 07:03:58
Dad,AU,iPhone,0,night,Season 2 Teaser: The Night Agent,supplemental-play,title_results,2025-05-07 07:03:58
Dad,AU,HTML 5,0,the madness,,add,title_results,2025-05-07 03:56:46
Dad,DK,Smart TV,0,,"Formula 1: Drive to Survive: Season 7: ""Frenemies""",play,prequery_results,2025-04-30 06:30:19
Dad,DK,Smart TV,0,,,play,prequery_results,2025-04-30 06:29:55
Dad,DK,Smart TV,0,,,select,prequery_results,2025-04-30 06:29:51
Dad,DK,Smart TV,0,tru,The Truman Show,play,title_results,2025-04-28 19:16:00
Dad,DK,Smart TV,0,tru,The Truman Show,select,title_results,2025-04-28 19:15:55
Dad,AU,Set Top Box,0,white l,,play,suggestion_results,2025-02-18 09:01:37
Dad,AU,Set Top Box,0,white l,,select,suggestion_results,2025-02-18 09:01:34
Dad,AU,Set Top Box,0,white l,,select,suggestion_results,2025-02-18 09:01:27
Dad,AU,Set Top Box,0,ame,,add,title_results,2025-02-18 09:00:12
Dad,AU,Set Top Box,0,ame,,play,title_results,2025-02-18 09:00:11
Dad,AU,Set Top Box,0,ame,,select,title_results,2025-02-18 09:00:08
Dad,AU,Set Top Box,0,av,Avicii - I'm Tim,play,title_results,2025-01-18 10:48:29
Dad,AU,Set Top Box,0,av,Avicii - I'm Tim,select,title_results,2025-01-18 10:48:25
Dad,AU,iPhone,0,fatal,Season 1 Volume 2 Teaser : Fatal Seduction,supplemental-play,title_results,2024-12-25 11:58:48
Dad,AU,iPhone,0,fatal,,select,title_results,2024-12-25 11:58:47
Dad,AU,iPhone,0,napol,,select,suggestion_results,2024-11-23 06:43:10
Dad,AU,iPhone,0,big vape,,select,title_results,2024-10-25 07:08:32
Dad,AU,iPhone,0,r,,select,title_results,2024-10-16 11:30:30
Dad,AU,Set Top Box,0,,,play,prequery_results,2024-09-15 11:42:29
Dad,AU,Set Top Box,0,,,select,prequery_results,2024-09-15 11:42:25
Dad,AU,Set Top Box,0,le,Legion,play,title_results,2024-08-13 11:26:25
Dad,AU,Set Top Box,0,le,Legion,select,title_results,2024-08-13 11:26:22
Dad,AU,HTML 5,0,eq,The Equalizer,play,title_results,2024-08-12 13:01:25
Dad,AU,iPhone,0,mind,,select,title_results,2024-08-08 11:02:48
Dad,AU,Set Top Box,0,hitchh,The Hitchhiker's Guide to the Galaxy,select,suggestion_results,2024-06-26 10:36:08
Dad,AU,Set Top Box,0,bo,Bohemian Rhapsody,play,title_results,2024-05-17 12:19:27
Dad,AU,Set Top Box,0,bo,Bohemian Rhapsody,play,title_results,2024-05-17 10:26:30
Dad,AU,Set Top Box,0,bo,Bohemian Rhapsody,play,title_results,2024-05-17 10:04:49
Dad,AU,Set Top Box,0,bo,Bohemian Rhapsody,select,title_results,2024-05-17 10:04:46
Dad,AU,iPhone,0,boh,Bohemian Rhapsody,select,title_results,2024-05-17 09:31:38
