Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Dad,2025-06-22 02:56:32,00:00:56,Autoplayed: user action: None; ,North Shore: Season 1_hook_01,HOOK,Firefox PC (Cadmium),00:00:00,00:00:00,AU (Australia)
Dad,2025-06-13 11:32:56,00:26:41,Autoplayed: user action: User_Interaction; ,3 Body Problem: Season 1: Judgment Day (Episode 5),,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:07:47,00:07:47,AU (Australia)
Dad,2025-06-13 11:32:43,00:00:04,Autoplayed: user action: None; ,Plot Clip: Atlas,HOOK,Google Chromecast Chromecast with GTV 1080P Set Top Box,00:00:04,00:00:04,AU (Australia)
Dad,2025-06-13 08:52:56,00:00:11,Autoplayed: user action: None; ,Limited Series Clip 7: The Survivors,HOOK,Apple iPhone 16 Pro iPhone,00:00:11,00:00:11,AU (Australia)
Dad,2025-06-10 19:36:25,00:57:28,,Dune: Part Two,,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,01:27:19,01:27:19,DK (Denmark)
Dad,2025-06-10 18:23:56,00:14:18,,Dune: Part Two,,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:30:28,Not latest view,DK (Denmark)
Dad,2025-06-10 18:23:32,00:00:21,Autoplayed: user action: User_Interaction; ,Dune: Part Two_hook_primary_16x9,HOOK,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:21,00:00:21,DK (Denmark)
Dad,2025-06-10 17:27:47,00:28:28,,Dune: Part Two,,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:19:40,Not latest view,DK (Denmark)
Dad,2025-06-10 17:26:24,00:00:08,Autoplayed: user action: User_Interaction; ,Dune: Part Two,,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:08,Not latest view,DK (Denmark)
Dad,2025-06-10 17:26:06,00:00:07,Autoplayed: user action: None; ,High Context Clip: The Greatest Night in Pop,HOOK,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:07,00:00:07,DK (Denmark)
Dad,2025-06-10 17:25:20,00:00:43,Autoplayed: user action: None; ,Clip 7: Uprising,HOOK,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:43,00:00:43,DK (Denmark)
Dad,2025-06-10 17:22:15,00:02:00,,Trailer: STRAW,TRAILER,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:01:44,00:01:44,DK (Denmark)
Dad,2025-06-10 17:22:02,00:00:06,Autoplayed: user action: User_Interaction; ,Main Character Intro Clip: Stranger Things 4 Volume 2,HOOK,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:06,00:00:06,DK (Denmark)
Dad,2025-06-10 17:21:03,00:00:04,Autoplayed: user action: None; ,Four Brothers_​​hook_primary_backfill,HOOK,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:04,00:00:04,DK (Denmark)
Dad,2025-06-10 17:20:37,00:00:07,Autoplayed: user action: None; ,Mission: Impossible - Ghost Protocol_hook_primary_16x9,HOOK,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:07,00:00:07,DK (Denmark)
Dad,2025-06-10 17:20:19,00:00:13,Autoplayed: user action: None; ,Clip 7: Uprising,HOOK,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:13,Not latest view,DK (Denmark)
Dad,2025-06-10 17:19:49,00:00:08,Autoplayed: user action: None; ,Season 1 Trailer: Snowpiercer,TRAILER,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:08,00:00:08,DK (Denmark)
Dad,2025-06-10 17:18:17,00:00:04,Autoplayed: user action: None; ,Supporting Character Clip: The Adam Project,HOOK,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:04,00:00:04,DK (Denmark)
Dad,2025-06-10 17:17:29,00:00:06,Autoplayed: user action: None; ,Mission: Impossible - Dead Reckoning - Part One_hook_03_16x9,HOOK,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:06,00:00:06,DK (Denmark)
Dad,2025-06-10 17:17:14,00:00:06,Autoplayed: user action: None; ,Priest_hook_primary_backfill,HOOK,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,00:00:06,00:00:06,DK (Denmark)
