Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Dad,NFCDFF-02-JP4GJ31PMX1HGHL4CPFN5YLXTEM3FP,Firefox PC (Cadmium),2022-11-02T09:54:38.952,2025-06-22T02:59:28.036,,,2022-11-02T09:54:38.952,2025-06-22T02:59:28.036,,,2025-04-27T12:05:00.796
Dad,NFAPPL-02-IPHONE14=5-68191CF2C6994A1F2B4B90C75255DCCAFFB6E01094FE98533EC36BFE81A6920B,Apple iPhone 13,2023-11-12T13:16:31.612,2025-04-21T17:04:51.984,,,2023-11-12T13:16:31.612,2025-04-21T17:04:51.984,,,1970-01-01T00:00:00.000
Dad,NFCDCH-02-KQGP9037NC9AX70PMF6FRQQUCV0K4C,Chrome PC (Cadmium),2023-12-13T04:56:57.248,2025-06-21T13:44:29.772,2025-06-21T12:49:11.056,2025-06-21T12:49:17.247,2023-12-13T04:56:57.248,2025-06-21T13:44:29.772,2025-06-21T12:49:11.056,2025-06-21T12:49:17.247,2025-04-27T12:04:55.612
Dad,NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,Google Chromecast Chromecast with GTV 1080P Set Top Box,2023-10-02T10:14:18.423,2025-06-21T13:04:37.820,2023-10-02T10:14:18.423,2025-06-21T13:04:37.820,2023-10-02T10:14:18.423,2025-06-21T13:04:37.820,2023-10-02T10:14:18.423,2025-06-21T13:04:37.820,2025-04-27T12:03:57.292
Dad,NFAPPL-02-IPHONE14=2-48F7415FE2EFBE89F050460A6BBDAA87D7DF55B231548196177E5DE1A3E9A290,Apple iPhone 13 Pro,2023-09-15T12:11:16.144,2025-06-21T08:11:57.184,2025-06-20T05:37:23.812,2025-06-21T08:11:57.184,2023-09-15T12:11:16.144,2025-06-21T08:11:57.184,2025-06-20T05:37:23.812,2025-06-21T08:11:57.184,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE13=2-E715DEC0E0C72C1CE04AF05D92BA92E5FF013E8AFF7DE4362B3AA5D5A7211308,iPhone 12,2025-03-25T15:04:42.492,2025-06-20T18:37:10.159,2025-06-20T18:37:10.159,2025-06-20T18:37:10.159,2025-03-25T15:04:42.492,2025-06-20T18:37:10.159,2025-06-20T18:37:10.159,2025-06-20T18:37:10.159,2025-04-27T12:05:07.280
Dad,GOOGCAP0010000000000000021414038,Google Chromecast V5 Streaming Stick,2022-05-27T10:22:10.161,2025-06-14T12:16:15.243,,,2022-05-27T10:22:10.161,2025-06-14T12:16:15.243,,,2025-04-27T12:05:17.488
Dad,NFAPPL-02-IPHONE17=1-36822323A34911B293E13A57B8D5AC47BEB477E05E9026F5B086B9BFE70D2304,Apple iPhone 16 Pro iPhone,2025-06-14T11:18:31.529,2025-06-14T11:18:31.529,,,2025-06-14T11:18:31.529,2025-06-14T11:18:31.529,,,1970-01-01T00:00:00.000
Dad,NFCDIE-03-LNUFL8YF4J6EQJ3HENRP5228DHV2P4,Edge OSS - Windows (Cadmium),2024-12-14T07:58:04.148,2025-06-08T20:33:09.728,,,2024-12-14T07:58:04.148,2025-06-08T20:33:09.728,,,2025-04-27T12:04:36.656
Dad,NFCDCH-02-M4CVQXJUYNXN7A8X5CPT2DWVQHLPH3,Chrome PC (Cadmium),2025-06-08T20:15:15.791,2025-06-08T20:25:04.948,,,2025-06-08T20:15:15.791,2025-06-08T20:25:04.948,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE14=2-A0EEB265D6BC09E21858A61B9C46D020A8CB9E56A8E520A18C9E8BA8E27F7818,Apple iPhone 13 Pro,2023-04-24T08:11:01.452,2025-01-23T05:01:25.887,,,2023-04-24T08:11:01.452,2025-01-23T05:01:25.887,,,1970-01-01T00:00:00.000
Dad,NFAPPL-02-IPHONE12=1-7A609D510F504032042C8DF6A2C2601CBACA4C9CBCB7D6930CE9B82F54BA9D31,Apple iPhone 11,2023-12-18T08:31:25.832,2025-01-22T11:50:12.067,,,2023-12-18T08:31:25.832,2025-01-22T11:50:12.067,,,1970-01-01T00:00:00.000
Dad,NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-E71B25B4F16D2CF940089504D9B163D0F0BAD0B1687C486350CA671A6CED1E18,Google Chromecast Chromecast with GTV 1080P Set Top Box,2023-09-29T09:47:02.024,2025-01-18T10:48:26.646,2023-09-29T10:13:26.710,2025-01-18T10:48:26.646,2023-09-29T09:47:02.024,2025-01-18T10:48:26.646,2023-09-29T10:13:26.710,2025-01-18T10:48:26.646,1970-01-01T00:00:00.000
Dad,NFPS4-001-9RFNYGP9Q6JTAK54XX8Z2ZLXER,Sony PS4,2021-10-06T10:54:50.692,2025-01-11T12:11:02.483,2022-10-07T10:01:05.027,2025-01-11T12:11:02.483,2021-10-06T10:54:50.692,2025-01-11T12:11:02.483,2022-10-07T10:01:05.027,2025-01-11T12:11:02.483,1970-01-01T00:00:00.000
Dad,NFCDFF-02-LQPVEHRD6PU9ANDDDD77YM5J3U8JHU,Firefox PC (Cadmium),2025-01-06T05:44:40.820,2025-01-06T05:44:40.820,,,2025-01-06T05:44:40.820,2025-01-06T05:44:40.820,,,1970-01-01T00:00:00.000
Dad,NFCDIE-03-L9Q6T1A8MJ3NLD29103E50CY9TR75U,Edge OSS - Windows (Cadmium),2024-08-13T12:25:57.369,2024-08-30T13:32:30.804,,,2024-08-13T12:25:57.369,2024-08-30T13:32:30.804,,,1970-01-01T00:00:00.000
Dad,NFCDIE-03-L9Q6T51RLUG63CNYQY2P6KW3QUXTXY,Edge OSS - Windows (Cadmium),,,,,,,,,1970-01-01T00:00:00.000
Dad,SSTV-MSL1-0000000000000001950985,Samsung CE 2019 Muse-L UHD TV Smart TV,,,,,,,,,1970-01-01T00:00:00.000
