Esn,Country,Region Code,Device Description,Ip,Ts
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,AU,VIC,Google Chromecast Chromecast with GTV 1080P Set Top Box,138.130.14.110,2025-04-28 09:23:38
NFCDCH-02-LVFC1HPD6ED75UYU1RHXEKQ16YL2CJ,DK,84,Chrome PC (Cadmium),130.225.188.129,2025-02-20 13:20:57
NFCDFF-02-M139XALDC04FDH406J3RF4AXF2NTAN,AU,VIC,Firefox PC (Cadmium),2001:8003:4b98:3300:8c42:916:6767:ff44,2025-04-30 04:31:45
NFCDCH-02-M4CVQXJUYNXN7A8X5CPT2DWVQHLPH3,DK,84,Chrome PC (Cadmium),185.96.183.195,2025-06-08 20:14:59
NFCDFF-02-LQPVEHRD6PU9ANDDDD77YM5J3U8JHU,AU,VIC,Firefox PC (Cadmium),2001:8003:4a3f:5000:6895:3363:f867:854,2025-01-06 05:44:21
SSTVNTC1==0000000000000021683652,DK,84,Samsung CE 2023 Kant-SU2e UHD TV Smart TV,152.115.88.6,2025-04-22 20:18:06
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,AU,VIC,Google Chromecast Chromecast with GTV 1080P Set Top Box,138.130.14.110,2025-04-26 09:08:42
NFAPPL-01-IPAD4=1-D916204E4199C094B42EE2298DCCB3F11607ABD3F7A44826A678B649C49CF1F3,AU,VIC,iPad Air Wi-Fi,2001:8003:4b15:2100:c502:542a:c0:a78,2025-03-30 01:55:12
NFCDIE-03-LNUFL8YF4J6EQJ3HENRP5228DHV2P4,AU,VIC,Edge OSS - Windows (Cadmium),2001:8003:4a3f:5000:e9f3:6d14:67a3:eab7,2024-12-14 07:58:02
NFAPPL-02-IPHONE13=2-E715DEC0E0C72C1CE04AF05D92BA92E5FF013E8AFF7DE4362B3AA5D5A7211308,AU,VIC,iPhone 12,2001:8003:4b15:2100:c966:2497:e1e2:caa2,2025-03-25 15:04:24
NFCDIE-03-LNUFL8YF4J6EQJ3HENRP5228DHV2P4,DK,84,Edge OSS - Windows (Cadmium),185.96.183.195,2025-05-05 19:41:30
SSTV-KUE1-0000000000000023918116,DK,84,Samsung CE 2021 Kant-S2e UHD TV  Smart TV,80.161.88.90,2025-04-21 19:32:33
NFCDCH-02-KQGP9037NC9AX70PMF6FRQQUCV0K4C,AU,VIC,Chrome PC (Cadmium),2001:8003:4b98:3300:9072:ba55:61a7:e16c,2025-05-26 09:24:57
NFANDROID2-PRV-PHHTV18AMT2-PHILITPM181HE-8032-529B65452383BC333A1103FF74375420DC146B31CF0C9CF18406F0CDC5401FDC,NO,46,TPV PHHTV18AMT2 Smart TV,62.97.203.82,2025-04-18 13:11:13
