Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
GOOGCAP0010000000000000021414038,chromecast-cadmium,chromecast-cadmium,2001:8003:4b98:3300:7cf6:fd0e:3077:f542,AU,Victoria,MELBOURNE,2025-06-14 11:19:10
GOOGCAP0010000000000000021414038,chromecast-cadmium,chromecast-cadmium,2001:8003:4a3f:5000:ed71:593e:ef39:31a7,AU,Victoria,MELBOURNE,2025-01-19 09:57:14
GOOGCAP0010000000000000021414038,chromecast-cadmium,chromecast-cadmium,2001:8003:4b15:2100:a40f:8c69:51cd:332d,AU,Victoria,MELBOURNE,2025-03-27 11:08:03
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4a3f:5000:c1a9:2988:f2d0:7536,AU,Victoria,MELBOURNE,2025-03-05 08:01:44
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4b98:3300:2504:bef4:929b:78f3,AU,Victoria,MELBOURNE,2025-06-09 09:47:53
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4a3f:5000:2029:d03c:ff1c:c431,AU,Victoria,MELBOURNE,2025-02-16 07:57:37
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4b98:3300:650a:e045:2b9a:33b2,AU,Victoria,MELBOURNE,2025-06-05 10:55:16
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4b98:3300:2da7:3903:e0fe:b11d,AU,Victoria,MELBOURNE,2025-06-12 09:41:14
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4b98:3300:6589:c4f1:7e11:d29f,AU,Victoria,MELBOURNE,2025-06-11 08:59:42
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4a3f:5000:588e:ddc3:64e:de9d,AU,Victoria,MELBOURNE,2024-10-10 07:01:28
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4b98:3300:e83b:1208:2d87:3011,AU,Victoria,MELBOURNE,2025-06-06 11:32:13
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4a3f:5000:71f9:99a9:ae3c:dac7,AU,Victoria,MELBOURNE,2025-02-28 09:30:56
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4a3f:5000:e9ef:5c49:2729:c3b1,AU,Victoria,MELBOURNE,2024-10-01 11:08:37
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4a3f:5000:6dad:ee59:eb5f:f479,AU,Victoria,MELBOURNE,2025-02-25 07:50:18
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4a3f:5000:c9ec:73aa:904c:f96a,AU,Victoria,MELBOURNE,2025-03-08 05:18:38
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4a3f:5000:113:1e86:f183:a749,AU,Victoria,MELBOURNE,2025-02-27 11:11:33
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4a3f:5000:85a4:666c:a82f:2116,AU,Victoria,MELBOURNE,2024-11-23 06:35:00
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4b98:3300:b447:621:5f58:2d3b,AU,Victoria,MELBOURNE,2025-05-20 10:58:41
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,2001:8003:4a3f:5000:7476:30cb:5996:10d6,AU,Victoria,MELBOURNE,2025-02-04 10:10:18
NFANDROID2-PRV-BOREAL-GOOGLCHROMECAST=HD-21793-564A1650EFCFA4AECE46C9A679557C902AF97454BD9D7FC86C8DD02D142F59D3,google_Chromecast%20HD,google_Chromecast%20HD,1.145.155.196,AU,Victoria,MELBOURNE,2025-03-19 08:53:38
