Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Dad,2025-06-20 21:07:27,Borrower Resolution Interstitial,ALERTS,AU,,,,GMAIL.COM,,,--,0
Dad,2025-06-19 23:31:59,Borrower Resolution Interstitial,ALERTS,AU,,,,GMAIL.COM,,,--,0
Dad,2025-06-19 04:34:22,Multichannel Content Leaving The Service,NOTIFICATIONS,AU,,,,GMAIL.COM,,,--,0
Dad,2025-06-18 23:39:26,Borrower Resolution Interstitial,ALERTS,AU,,,,GMAIL.COM,,,--,0
Dad,2025-06-18 05:53:01,Multichannel What To Watch,NOTIFICATIONS,AU,,,Dark,GMAIL.COM,,,--,0
Dad,2025-06-17 21:37:31,Borrower Resolution Interstitial,ALERTS,AU,,,,GMAIL.COM,,,--,0
Dad,2025-06-17 04:56:21,Multichannel What To Watch,PUSH,AU,en-AU,en-AU,KAOS,GMAIL.COM,,,APPLE_iPhone17-1,0
Dad,2025-06-17 04:56:20,Multichannel What To Watch,NOTIFICATIONS,AU,,,KAOS,GMAIL.COM,,,--,0
Dad,2025-06-16 21:14:21,Borrower Resolution Interstitial,ALERTS,AU,,,,GMAIL.COM,,,--,0
Dad,2025-06-16 02:49:07,Multichannel What To Watch,NOTIFICATIONS,AU,,,Naked Gun 33 1/3: The Final Insult,GMAIL.COM,,,--,0
Dad,2025-06-16 02:49:07,Multichannel What To Watch,PUSH,AU,en-AU,en-AU,Naked Gun 33 1/3: The Final Insult,GMAIL.COM,,,APPLE_iPhone17-1,0
Dad,2025-06-15 21:07:48,Borrower Resolution Interstitial,ALERTS,AU,,,,GMAIL.COM,,,--,0
Dad,2025-06-15 05:03:15,Multichannel What To Watch,NOTIFICATIONS,AU,,,Dark,GMAIL.COM,,,--,0
Dad,2025-06-14 23:53:17,Borrower Resolution Interstitial,ALERTS,AU,,,,GMAIL.COM,,,--,0
Dad,2025-06-14 11:18:25,New Device Login,EMAIL,AU,en-AU,en-AU,,GMAIL.COM,,,--,0
Dad,2025-06-14 04:19:18,Multichannel What To Watch,PUSH,AU,en-AU,en-AU,Back in Action,GMAIL.COM,,,APPLE_iPhone17-1,0
Dad,2025-06-14 04:19:17,Multichannel What To Watch,NOTIFICATIONS,AU,,,Back in Action,GMAIL.COM,,,--,0
Dad,2025-06-13 23:50:16,Borrower Resolution Interstitial,ALERTS,AU,,,,GMAIL.COM,,,--,0
Dad,2025-06-13 05:42:04,Multichannel What To Watch,PUSH,AU,en-AU,en-AU,Masameer Junior,GMAIL.COM,,,APPLE_iPhone17-1,0
Dad,2025-06-13 05:42:04,Multichannel What To Watch,NOTIFICATIONS,AU,,,Masameer Junior,GMAIL.COM,,,--,0
Dad,2025-06-12 23:39:47,Borrower Resolution Interstitial,ALERTS,AU,,,,GMAIL.COM,,,--,0
